"Ticker";"Sector";"Sector_ETF";"Price";"ATR_pct";"Long_Score";"Long_Signal";"Long_Entry";"Long_Stop";"Long_Target";"Short_Score";"Short_Signal";"Short_Entry";"Short_Stop";"Short_Target";"BOT_Score";"BOT_Setup";"BOT_Breakout";"BOT_Squeeze";"BOT_VolDec";"BOT_VolSurge";"BOT_Flags";"ADX10";"RSI14";"RSI_slope";"MA50_dist";"OBV_rising";"UpDn_ratio";"RS_vs_ETF";"Macro_Note";"Sector_Long_Gate";"Sector_Short_Gate";"Best_Signal";"Trend_Passes";"Pullback";"RS_3m";"Trend_Reason";"NextEarnings";"EarningsInDays";"IV15";"IV30";"IV90";"IV180";"RV30";"IVP";"IVR";"IVP_2y";"RVP";"VRP";"Optionality";"TermStr";"Vol_Date";"Composite";"Gate_Tech";"Gate_Opt";"All_Gates";"Rank"
"PLD";"Real Estate";"XLRE";145,03;2,06;10;"TRADE";145,32;135,12;170,82;2;"SKIP";144,74;137,85;161,97;7;4;3;0,955;1,058;0,78;"S:4/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-";34,6;73,6;14,3;6,3;TRUE;2,5;3,3;"";TRUE;FALSE;"LONG TRADE";FALSE;"none";6,27;"fails: stage2, no pullback";"20260715";85;NA;23;NA;24,7;26,4;24,6;NA;NA;78,1;-13,68;"PASS";"Contango";"20260420 18:04";10;TRUE;TRUE;TRUE;"TOP PICK"
"PSA";"Real Estate";"XLRE";312,17;2,28;10;"TRADE";312,79;289,51;371,02;2;"SKIP";311,55;295,35;352,02;8;5;3;0,988;0,878;0,65;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";39,5;70,7;8,1;6,8;TRUE;3,51;7,5;"";TRUE;FALSE;"LONG TRADE";FALSE;"none";4,87;"fails: stage2, no pullback";"20260427";6;NA;24,9;NA;23,5;27,8;83,6;NA;NA;83,3;-11;"PARTIAL";"Backwardation";"20260420 18:13";10;TRUE;TRUE;TRUE;"TOP PICK"
"NVDA";"Technology";"XLK";202,06;2,51;10;"TRADE";202,46;182,06;253,47;2;"SKIP";201,66;185,74;241,45;8;5;3;1;0,891;0,75;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";29,6;71,6;9,7;9,9;TRUE;9,83;10,6;"";TRUE;FALSE;"LONG TRADE";FALSE;"none";8,88;"fails: no pullback";"20260520";29;NA;39,7;38;40,4;30,4;52,8;NA;NA;18,2;26,8;"PASS";"Contango";"20260421 11:43";10;TRUE;TRUE;TRUE;"TOP PICK"
"DBA";"Basic Materials";"XLB";26,99;0,79;7;"WATCH";27,04;26,29;28,94;3;"SKIP";26,94;26,82;27,23;4;4;0;0,47;1,328;0,59;"S:4/6 BK:0/4 | S1:+ S2:+ S3:- S4:+ S5:+ S6:- | BK1:- BK2:- BK3:- BK4:-";23,1;53,7;-0,6;1,6;TRUE;0,97;-10,7;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";1,29;"all criteria met";NA;NA;NA;14,4;NA;NA;8,8;50,2;NA;NA;21,8;48,4;"PARTIAL";"NO DATA";"20260421 09:23";8;TRUE;TRUE;TRUE;"TREND CONT"
"LIN";"Basic Materials";"XLB";498,15;1,96;7;"WATCH";499,15;486,16;531,62;3;"SKIP";497,15;495,98;500,09;4;4;0;0,906;0,83;0,78;"S:4/6 BK:0/4 | S1:+ S2:+ S3:- S4:+ S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-";14,3;52,6;-9,8;1,4;TRUE;1,07;-9,1;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";10,41;"all criteria met";"20260501";10;NA;26;NA;23,4;22,2;97,2;NA;NA;82,5;15,63;"FAIL";"Backwardation";"20260420 23:13";8;TRUE;FALSE;FALSE;"TREND CONT"
"O";"Real Estate";"XLRE";64,92;1,43;9;"WATCH";65,05;63,34;69,32;3;"SKIP";64,79;64,62;65,22;7;4;3;0,68;0,861;0,76;"S:4/6 BK:3/4 | S1:+ S2:+ S3:- S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";30,7;63,9;9,2;1,5;TRUE;4,54;-3,5;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";0,76;"all criteria met";"20260506";15;NA;18,1;NA;19,4;17,1;76,2;NA;NA;75,3;5,91;"PARTIAL";"Contango";"20260420 18:14";9;TRUE;TRUE;TRUE;"TREND CONT"
"ALB";"Basic Materials";"XLB";194,83;5,57;10;"WATCH";195,22;172,45;252,15;2;"SKIP";194,44;175,93;240,71;6;5;1;0,928;0,949;1,04;"S:5/6 BK:1/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:- BK4:-";28,4;57,8;-2,1;11,8;TRUE;1,58;13,2;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";8,32;"fails: HH/HL, no pullback";"20260506";15;NA;65,3;NA;59,9;57,3;73,5;NA;NA;26,7;13,16;"FAIL";"Backwardation";"20260421 08:30";10;TRUE;FALSE;FALSE;""
"FCX";"Basic Materials";"XLB";70,18;3,6;10;"WATCH";70,32;61,73;91,8;2;"SKIP";70,04;62,97;87,7;8;5;3;0,879;0,912;0,78;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";32,4;70;2,8;12,6;TRUE;2,68;23,6;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";12,23;"fails: no pullback";"20260423";2;NA;49,3;NA;47,2;55,3;80;NA;NA;69,7;-11,48;"FAIL";"Backwardation";"20260420 22:57";10;TRUE;FALSE;FALSE;""
"AMZN";"Communications";"XLC";248,28;2,62;10;"WATCH";248,78;212,61;339,2;2;"SKIP";247,78;216,9;324,98;8;5;3;1;0,877;0,85;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";36,3;73,1;0,9;15,6;TRUE;5;15,1;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";2,88;"fails: no pullback";"20260429";8;NA;39,8;NA;34,8;32,4;80,2;NA;NA;53,6;20,53;"FAIL";"Backwardation";"20260421 08:43";10;TRUE;FALSE;FALSE;""
"AXP";"Financial";"XLF";329,87;2,51;10;"WATCH";330,53;314,19;371,37;3;"SKIP";329,21;320,54;350,89;7;4;3;0,884;0,78;0,79;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";33,4;63,3;1,3;3,9;TRUE;3,2;4,4;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";-10,93;"fails: stage2, RS<=bench, no pullback";"20260423";2;NA;32,1;NA;30,6;30,6;77,7;NA;NA;72,6;4,94;"FAIL";"Backwardation";"20260421 08:49";10;TRUE;FALSE;FALSE;""
