"Ticker";"Sector";"Sector_ETF";"Price";"ATR_pct";"Long_Score";"Long_Signal";"Long_Entry";"Long_Stop";"Long_Target";"Short_Score";"Short_Signal";"Short_Entry";"Short_Stop";"Short_Target";"BOT_Score";"BOT_Setup";"BOT_Breakout";"BOT_Squeeze";"BOT_VolDec";"BOT_VolSurge";"BOT_Flags";"ADX10";"RSI14";"RSI_slope";"MA50_dist";"OBV_rising";"UpDn_ratio";"RS_vs_ETF";"Macro_Note";"Sector_Long_Gate";"Sector_Short_Gate";"Best_Signal";"Trend_Passes";"Pullback";"RS_3m";"Trend_Reason";"NextEarnings";"EarningsInDays";"IV15";"IV30";"IV90";"IV180";"RV30";"IVP";"IVR";"IVP_2y";"RVP";"VRP";"Optionality";"TermStr";"Vol_Date";"Composite";"Gate_Tech";"Gate_Opt";"All_Gates";"Rank"
"FTV";"Industrial";"XLI";60,97;2,49;10;"WATCH";61,09;56,77;71,91;2;"SKIP";60,85;57,91;68,19;8;5;3;1;0,709;0,85;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";28,6;66,2;3,1;6,3;TRUE;2,39;2,8;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";11,1;"fails: no pullback";"20260430";9;NA;40,3;NA;NA;28,5;97,6;NA;NA;49,8;34,85;"FAIL";"NO DATA";"20260420 18:52";10;TRUE;FALSE;FALSE;""
"DLR";"Real Estate";"XLRE";203,91;1,87;10;"WATCH";204,32;179,2;267,11;2;"SKIP";203,5;182,82;255,2;8;5;3;0,981;0,914;0,85;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";45,9;83,1;9,5;12,6;TRUE;10,61;7,7;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";23,15;"fails: stage2, RSI, no pullback";"20260423";2;NA;33,5;NA;29,5;22,7;82,2;NA;NA;38,2;39,03;"FAIL";"Backwardation";"20260420 18:09";10;TRUE;FALSE;FALSE;""
"AMAT";"Technology";"XLK";391,62;3,72;10;"WATCH";392,4;356,5;482,16;2;"SKIP";390,84;363,7;458,67;7;5;2;0,956;0,836;0,65;"S:5/6 BK:2/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:+ BK4:-";21,3;60,4;-3,9;8,8;TRUE;1,16;3,2;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";18,47;"fails: no pullback";"20260514";23;NA;58,3;NA;53,9;52,7;NA;NA;NA;61,8;10,1;"FAIL";"Backwardation";"20260421 08:33";10;TRUE;FALSE;FALSE;""
"AMD";"Technology";"XLK";274,95;3,85;10;"WATCH";275,5;211,65;435,13;2;"SKIP";274,4;215,92;420,6;7;4;3;0,953;1,015;0,97;"S:4/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-";45,2;76,9;6,1;28,6;TRUE;8,61;30,1;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";13,96;"fails: RSI, no pullback";"20260505";14;NA;59,8;NA;55,9;48,3;85,8;NA;NA;29,1;21,3;"FAIL";"Backwardation";"20260421 08:36";10;TRUE;FALSE;FALSE;""
"CSCO";"Technology";"XLK";87,71;2,4;10;"WATCH";87,89;79,39;109,12;2;"SKIP";87,53;81;103,88;8;5;3;0,916;0,811;0,86;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";23;70,6;12,7;9,4;TRUE;2,44;6,5;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";14,98;"fails: stage2, no pullback";"20260513";22;NA;34,2;NA;30,3;27,3;96,4;NA;NA;62,3;22,61;"FAIL";"Backwardation";"20260421 09:18";10;TRUE;FALSE;FALSE;""
"EWY";"Technology";"XLK";150,09;4,01;10;"WATCH";150,39;132,48;195,16;2;"SKIP";149,79;135,16;186,37;8;5;3;1;0,854;0,57;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";26,4;64,2;3,9;12,2;TRUE;1,84;12,9;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";30,66;"fails: no pullback";NA;NA;NA;50,8;NA;46,8;65;82,9;NA;NA;88,8;-24,68;"FAIL";"Backwardation";"20260420 19:01";10;TRUE;FALSE;FALSE;""
"FMC";"Agricultural";"MOO";17,35;4,51;10;"SKIP";17,38;15,22;22,78;2;"SKIP";17,32;15,53;21,77;7;5;2;0,971;0,8;0,71;"S:5/6 BK:2/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:+ BK4:-";45,2;58,1;-8,3;12,8;TRUE;2,32;28,1;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260429";8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;FALSE;FALSE;FALSE;""
"ADM";"Agricultural";"MOO";68,37;3,17;4;"SKIP";68,51;68,83;67,69;9;"SKIP";68,23;70,22;63,26;2;2;0;0,905;0,889;1,02;"S:2/6 BK:0/4 | S1:- S2:+ S3:- S4:- S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-";28;45,2;-1,7;-1,7;FALSE;0,4;-1,2;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260505";14;NA;33,6;NA;32,1;36,4;77,7;NA;NA;81,3;-8,03;"PARTIAL";"Backwardation";"20260421 07:32";9;FALSE;TRUE;FALSE;""
"CAG";"Agricultural";"MOO";14,84;3,35;3;"SKIP";14,87;16,85;9,92;9;"SKIP";14,81;17,19;8,86;1;1;0;0,373;1,06;0,7;"S:1/6 BK:0/4 | S1:- S2:- S3:- S4:- S5:+ S6:- | BK1:- BK2:- BK3:- BK4:-";46,8;38,5;10,7;-12,8;FALSE;0,39;-6,6;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;NA;NA;NA;31,9;NA;34,5;35,5;74,2;NA;NA;98,4;-10,84;"PASS";"Contango";"20260421 09:03";9;FALSE;TRUE;FALSE;""
"LW";"Agricultural";"MOO";46;3,28;9;"SKIP";46,09;43,96;51,43;3;"SKIP";45,91;44,84;48,57;7;4;3;0,801;0,865;0,74;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";28,8;64,1;13,5;3,6;TRUE;9,65;10,5;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;FALSE;FALSE;FALSE;""
"SMG";"Agricultural";"MOO";66,51;4,18;8;"SKIP";66,64;64,59;71,78;3;"SKIP";66,38;65,89;67,59;6;3;3;0,665;1,076;0,69;"S:3/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-";18;57,8;11,3;1,9;TRUE;1,53;2,3;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260429";8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;8;FALSE;FALSE;FALSE;""
"TSN";"Agricultural";"MOO";63,67;2,15;8;"SKIP";63,8;62,45;67,16;3;"SKIP";63,54;63,71;63,11;7;4;3;1;0,865;1,23;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:+ BK4:+";17,9;50,7;-6;0,9;TRUE;1,31;5;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260504";13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;8;FALSE;FALSE;FALSE;""
"AGCO";"Agricultural";"MOO";120,27;3,35;7;"SKIP";120,51;123,18;113,84;3;"SKIP";120,03;125,67;105,94;7;5;2;0,385;0,857;0,69;"S:5/6 BK:2/4 | S1:- S2:+ S3:+ S4:+ S5:+ S6:+ | BK1:- BK2:+ BK3:+ BK4:-";18,2;52,5;-2;-3,3;TRUE;1,9;5,6;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260505";14;NA;40,6;NA;36,9;37,9;90,7;NA;NA;61,8;6,83;"FAIL";"Backwardation";"20260421 07:36";7;FALSE;FALSE;FALSE;""
"BIOX";"Agricultural";"MOO";0,67;9,61;7;"SKIP";0,67;0,52;1,04;4;"SKIP";0,67;0,53;1;6;4;2;0,887;0,462;0,78;"S:4/6 BK:2/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:- BK3:+ BK4:-";43,5;62,4;6,1;26,9;TRUE;0,89;75,1;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260521";30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;7;FALSE;FALSE;FALSE;""
"CTVA";"Agricultural";"MOO";80,29;2,28;6;"SKIP";80,45;78,61;85,06;7;"SKIP";80,13;80,19;79,97;3;3;0;0,785;0,962;0,82;"S:3/6 BK:0/4 | S1:+ S2:+ S3:- S4:+ S5:- S6:- | BK1:- BK2:- BK3:- BK4:-";25,7;45,2;-13,9;1,1;TRUE;0,16;-0,6;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260505";14;NA;32,3;NA;27,6;22,9;95,8;NA;NA;54,4;34,52;"FAIL";"Backwardation";"20260421 09:19";7;FALSE;FALSE;FALSE;""
"IPI";"Agricultural";"MOO";35,78;7,79;4;"SKIP";35,85;38,21;29,96;7;"SKIP";35,71;38,98;27,53;1;1;0;0,708;1,041;0,56;"S:1/6 BK:0/4 | S1:- S2:+ S3:- S4:- S5:- S6:- | BK1:- BK2:- BK3:- BK4:-";13,7;41,3;-3;-7,3;FALSE;0,78;-12,2;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260506";15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;7;FALSE;FALSE;FALSE;""
"MOS";"Agricultural";"MOO";24,11;4,89;3;"SKIP";24,16;26,73;17,72;7;"SKIP";24,06;27,27;16,03;1;1;0;0,445;1;1,01;"S:1/6 BK:0/4 | S1:- S2:- S3:- S4:- S5:+ S6:- | BK1:- BK2:- BK3:- BK4:-";12,1;41,2;0;-10,7;FALSE;0,27;-2,3;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260511";20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;7;FALSE;FALSE;FALSE;""
"NTR";"Agricultural";"MOO";71,17;3,67;4;"SKIP";71,31;73,67;65,43;7;"SKIP";71,03;75,15;60,71;3;3;0;0,546;0,944;0,63;"S:3/6 BK:0/4 | S1:- S2:+ S3:- S4:- S5:+ S6:+ | BK1:- BK2:- BK3:- BK4:-";19,9;41,7;-6,6;-4,4;FALSE;0,58;-9,2;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260506";15;NA;39,8;NA;35,8;45,3;95,9;NA;NA;98,8;-13;"PARTIAL";"Backwardation";"20260420 23:26";7;FALSE;TRUE;FALSE;""
"BG";"Agricultural";"MOO";122,46;3,4;6;"SKIP";122,7;121,12;126,66;6;"SKIP";122,22;123,57;118,83;4;4;0;0,702;0,917;0,73;"S:4/6 BK:0/4 | S1:+ S2:+ S3:- S4:+ S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-";17,6;48,8;-0,4;0,1;TRUE;0,6;-0,8;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260429";8;NA;39,1;NA;32,5;38,7;98,2;NA;NA;96,4;1,11;"FAIL";"Backwardation";"20260421 08:53";6;FALSE;FALSE;FALSE;""
"CF";"Agricultural";"MOO";115,94;6,29;6;"SKIP";116,17;113,41;123,08;5;"SKIP";115,71;115,7;115,73;4;4;0;0,667;0,948;0,74;"S:4/6 BK:0/4 | S1:+ S2:+ S3:- S4:+ S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-";19,2;45;-4,4;1,2;TRUE;0,87;-11,7;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260506";15;NA;53,8;NA;48,9;87,7;90,2;NA;NA;99,2;-48,82;"FAIL";"Backwardation";"20260421 09:09";6;FALSE;FALSE;FALSE;""
"NUE";"Basic Materials";"XLB";202,26;2,39;10;"WATCH";202,66;174,82;272,28;2;"SKIP";201,86;178,35;260,62;8;5;3;0,897;0,925;0,98;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";41,8;79,9;8;14,5;TRUE;12,34;16,4;"";TRUE;FALSE;"SKIP";FALSE;"none";11,32;"fails: stage2, RSI, no pullback";"20260427";6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
"STLD";"Basic Materials";"XLB";209,35;2,96;10;"WATCH";209,77;184,62;272,64;2;"SKIP";208,93;188,35;260,39;9;5;4;0,953;0,934;1,97;"S:5/6 BK:4/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:+";28,8;74,2;8,8;12,3;TRUE;4,15;16,5;"";TRUE;FALSE;"SKIP";FALSE;"none";17,25;"fails: no pullback";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
"CCJ";"Basic Materials";"XLB";123,62;4,41;9;"WATCH";123,87;113,25;150,41;2;"SKIP";123,37;115,54;142,96;8;5;3;0,861;0,835;1,03;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";17,9;65,5;8,3;8,1;TRUE;2,94;10,6;"";TRUE;FALSE;"SKIP";FALSE;"none";2,16;"fails: no pullback";"20260505";14;NA;58,4;NA;55;53,9;79,9;NA;NA;56;7,96;"FAIL";"Backwardation";"20260421 09:05";9;TRUE;FALSE;FALSE;""
"LAC";"Basic Materials";"XLB";4,98;5,26;9;"WATCH";4,99;4,41;6,43;3;"SKIP";4,97;4,5;6,14;8;4;4;0,848;0,922;1,74;"S:4/6 BK:4/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:+";33,4;67,8;13,1;11,7;TRUE;3,13;23,1;"";TRUE;FALSE;"SKIP";FALSE;"none";-18,44;"fails: stage2, RS<=bench, no pullback";"20260514";23;NA;83,2;NA;77,5;67,1;55,5;NA;NA;42,6;21,51;"FAIL";"Backwardation";"20260420 19:04";9;TRUE;FALSE;FALSE;""
"MT";"Basic Materials";"XLB";62,41;3,54;9;"WATCH";62,53;57,66;74,72;2;"SKIP";62,29;58,83;70,93;7;5;2;0,739;0,899;0,67;"S:5/6 BK:2/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:+ BK4:-";22,2;63,4;-0,6;7,2;TRUE;2,92;19,5;"";TRUE;FALSE;"SKIP";FALSE;"none";23,22;"fails: no pullback";"20260430";9;NA;54,9;NA;49,6;63,6;91,9;NA;NA;96,4;-14,83;"FAIL";"Backwardation";"20260420 23:20";9;TRUE;FALSE;FALSE;""
"SHW";"Basic Materials";"XLB";343,93;2,74;9;"WATCH";344,62;334,43;370,08;3;"SKIP";343,24;341,19;348,38;6;3;3;0,659;0,98;0,78;"S:3/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-";22;60,7;5,3;1,8;TRUE;1,29;2,1;"";TRUE;FALSE;"SKIP";FALSE;"none";-5,47;"fails: stage2, HH/HL, RS<=bench, no pullback";"20260428";7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;TRUE;FALSE;FALSE;""
"URA";"Basic Materials";"XLB";56,05;3,94;9;"WATCH";56,16;50,88;69,36;2;"SKIP";55,94;51,91;66,01;8;5;3;1;0,854;1,14;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";19,1;66,7;9,3;9,1;TRUE;8,34;9,5;"";TRUE;FALSE;"SKIP";FALSE;"none";-1,03;"fails: RS<=bench, no pullback";NA;NA;NA;55,7;NA;57,9;53;75,6;NA;NA;69;4,91;"FAIL";"Contango";"20260324 08:23";9;TRUE;FALSE;FALSE;""
"AA";"Basic Materials";"XLB";66,53;5,31;8;"WATCH";66,66;63,29;75,1;5;"WATCH";66,4;64,57;70,97;5;5;0;1;0,906;0,9;"S:5/6 BK:0/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-";24,7;49;-17,1;4,1;TRUE;0,9;6,7;"";TRUE;FALSE;"SKIP";FALSE;"strong (near SMA20 + RSI retraced)";2,5;"fails: HH/HL";"20260715";85;NA;58,5;NA;NA;72;70,1;NA;NA;81,3;-20,72;"FAIL";"NO DATA";"20260421 06:18";8;TRUE;FALSE;FALSE;""
"DOW";"Basic Materials";"XLB";36,77;5,38;5;"WATCH";36,84;35,33;40,63;7;"TRADE";36,7;36,04;38,33;3;3;0;0,587;1,037;0,79;"S:3/6 BK:0/4 | S1:+ S2:+ S3:- S4:- S5:+ S6:- | BK1:- BK2:- BK3:- BK4:-";23,4;46,3;-12,4;3;FALSE;0,61;-10,8;"";TRUE;FALSE;"SKIP";TRUE;"RSI retraced";33,74;"all criteria met";"20260423";2;NA;52,2;NA;47,2;68,2;86,3;NA;NA;100;-26,71;"FAIL";"Backwardation";"20260420 22:52";8;TRUE;FALSE;FALSE;""
"NEM";"Basic Materials";"XLB";114,84;4,04;8;"WATCH";115,07;114,2;117,24;3;"SKIP";114,61;116,51;109,87;6;4;2;0,706;0,909;0,7;"S:4/6 BK:2/4 | S1:- S2:+ S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:+ BK4:-";18,6;52,1;-3,7;-0,4;TRUE;2,09;8,7;"";TRUE;FALSE;"SKIP";FALSE;"at SMA20";-8,04;"fails: stage2, HH/HL, RS<=bench";"20260423";2;NA;51,7;NA;46,9;56,9;78,5;NA;NA;84,1;-9,56;"FAIL";"Backwardation";"20260420 23:21";8;TRUE;FALSE;FALSE;""
"VMC";"Basic Materials";"XLB";294,77;2,64;8;"WATCH";295,36;286,11;318,47;3;"SKIP";294,18;291,89;299,89;7;5;2;0,611;0,875;0,47;"S:5/6 BK:2/4 | S1:+ S2:- S3:+ S4:+ S5:+ S6:+ | BK1:- BK2:+ BK3:+ BK4:-";25,3;59,2;-5,3;2;TRUE;1,37;2,9;"";TRUE;FALSE;"SKIP";FALSE;"at SMA20";-5,06;"fails: RS<=bench";"20260429";8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;8;TRUE;FALSE;FALSE;""
"CLF";"Basic Materials";"XLB";9,73;4,82;7;"WATCH";9,75;9,63;10,04;5;"WATCH";9,71;9,83;9,41;8;4;4;0,559;0,804;1,62;"S:4/6 BK:4/4 | S1:- S2:- S3:+ S4:+ S5:+ S6:+ | BK1:+ BK2:+ BK3:+ BK4:+";26,9;57,4;4;0;TRUE;3,01;13,2;"";TRUE;FALSE;"SKIP";FALSE;"none";-35,34;"fails: stage2, RS<=bench, no pullback";"20260720";90;NA;63;NA;63,8;62,1;26,2;NA;NA;38,1;1,44;"PARTIAL";"Contango";"20260421 09:13";7;TRUE;TRUE;TRUE;""
"ECL";"Basic Materials";"XLB";275,68;2,28;7;"WATCH";276,23;278,79;269,85;5;"WATCH";275,13;284,42;251,91;5;2;3;0,388;0,95;0,79;"S:2/6 BK:3/4 | S1:- S2:- S3:- S4:+ S5:+ S6:- | BK1:+ BK2:+ BK3:+ BK4:-";20,8;53,8;0,8;-2,1;TRUE;1,45;-3,7;"";TRUE;FALSE;"SKIP";FALSE;"at SMA20";-3,61;"fails: stage2, RS<=bench";"20260428";7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;7;TRUE;FALSE;FALSE;""
