"sym";"sector";"rich_pass";"pull_pass";"cheap_pass";"stage";"pull_score";"pull_direction";"sector_rs_rank";"stage_pts";"sector_pts";"footprint_pts";"cheap_score";"cheap_side";"ivp_used";"ivp_2y";"vrp";"vehicle";"strike";"expiry";"spot_target_low";"spot_target_high";"targets_agreeing";"fib_confirms";"oi_cap_call";"oi_cap_put";"oi_concentration_pct";"chain_state";"crowded_flag";"effective_target";"rr";"entry_floor";"entry_ceiling";"headroom_band";"entry_state";"rank";"phase_of_drop";"sector_cluster";"schema_version"
"STLD";"Basic Materials";TRUE;FALSE;FALSE;"extended";0;"neutral";99;1;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"URA";"Basic Materials";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"VMC";"Basic Materials";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"AMZN";"Communications";TRUE;FALSE;FALSE;"extended";0;"neutral";99;1;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"DIS";"Communications";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"GOOG";"Communications";TRUE;FALSE;FALSE;"extended";0;"neutral";99;1;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"T";"Communications";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"TMUS";"Communications";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"DG";"Consumer cyclical";TRUE;FALSE;FALSE;"none";3;"neutral";3;0;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"HD";"Consumer cyclical";TRUE;FALSE;FALSE;"none";3;"neutral";3;0;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"TSLA";"Consumer cyclical";TRUE;FALSE;FALSE;"none";5;"up";3;0;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"BN";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";3;"up";5;0;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"CL";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";2;"neutral";5;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"GIS";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";2;"neutral";5;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
