"Ticker";"Sector";"Sector_ETF";"Price";"ATR_pct";"Long_Score";"Long_Signal";"Long_Entry";"Long_Stop";"Long_Target";"Short_Score";"Short_Signal";"Short_Entry";"Short_Stop";"Short_Target";"BOT_Score";"BOT_Setup";"BOT_Breakout";"BOT_Squeeze";"BOT_VolDec";"BOT_VolSurge";"BOT_Flags";"ADX10";"RSI14";"RSI_slope";"MA50_dist";"OBV_rising";"UpDn_ratio";"RS_vs_ETF";"Macro_Note";"Sector_Long_Gate";"Sector_Short_Gate";"Best_Signal";"Trend_Passes";"Pullback";"RS_3m";"Trend_Reason";"NextEarnings";"EarningsInDays";"IV15";"IV30";"IV90";"IV180";"RV30";"IVP";"IVR";"IVP_2y";"RVP";"VRP";"Optionality";"TermStr";"Vol_Date";"Composite";"Gate_Tech";"Gate_Opt";"All_Gates";"Rank"
"CFG";"Financial";"XLF";65,17;2,46;10;"TRADE";65,3;60,81;76,52;3;"SKIP";65,04;62,04;72,53;6;3;3;0,857;0,959;0,96;"S:3/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-";28,7;64,1;0,7;6,1;TRUE;1,39;4,7;"";TRUE;FALSE;"LONG TRADE";TRUE;"at SMA20";1,25;"all criteria met";"20260716";83;NA;25,6;NA;28,4;32,4;22,2;NA;NA;72,2;-23,7;"PASS";"Contango";"20260421 09:10";10;TRUE;TRUE;TRUE;"TOP PICK"
"BAC";"Financial";"XLF";52,47;2,31;9;"TRADE";52,57;49,94;59,17;3;"SKIP";52,37;50,95;55,92;5;4;1;0,922;0,859;0,89;"S:4/6 BK:1/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:- BK4:-";38;56,2;-10,3;4;TRUE;1,46;2,6;"";TRUE;FALSE;"LONG TRADE";FALSE;"at SMA20";-1,34;"fails: RS<=bench";"20260714";81;NA;24;NA;26,2;29,2;38,3;NA;NA;74,2;-19,69;"PASS";"Contango";"20260421 08:52";9;TRUE;TRUE;TRUE;"TOP PICK"
"PSA";"Real Estate";"XLRE";310,82;2,29;10;"TRADE";311,44;290,61;363,52;2;"SKIP";310,2;296,48;344,49;8;5;3;0,98;0,845;0,69;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";39,9;65,5;1,4;5,9;TRUE;2,05;7;"";TRUE;FALSE;"LONG TRADE";FALSE;"none";7,19;"fails: stage2, no pullback";"20260427";3;NA;24,9;NA;23,5;27,8;83,6;NA;NA;83,3;-11;"PARTIAL";"Backwardation";"20260420 18:13";10;TRUE;TRUE;TRUE;"TOP PICK"
"DBA";"Basic Materials";"XLB";27,4;0,82;9;"WATCH";27,45;26,38;30,15;3;"SKIP";27,35;26,91;28,44;7;4;3;0,417;1,164;0,96;"S:4/6 BK:3/4 | S1:+ S2:+ S3:- S4:+ S5:+ S6:- | BK1:+ BK2:+ BK3:+ BK4:-";22,8;64,4;5,7;2,8;TRUE;1,81;-3,2;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";3,66;"all criteria met";NA;NA;NA;14,4;NA;NA;8,8;50,2;NA;NA;21,8;48,4;"PARTIAL";"NO DATA";"20260421 09:23";9;TRUE;TRUE;TRUE;"TREND CONT"
"XOP";"Energy";"XLE";169,56;3,18;8;"WATCH";169,9;163,64;185,54;5;"WATCH";169,22;166,95;174,9;6;4;2;0,798;0,886;1,16;"S:4/6 BK:2/4 | S1:+ S2:+ S3:- S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:- BK4:-";21,4;51,5;4,2;2,6;TRUE;1,83;-0,7;"";FALSE;TRUE;"LONG WATCH";TRUE;"at SMA20";22,61;"all criteria met";NA;NA;NA;37,4;NA;34,8;34;88;NA;NA;83,3;9,62;"FAIL";"Backwardation";"20260324 08:26";9;TRUE;FALSE;FALSE;"TREND CONT"
"KRE";"Financial";"XLF";70;2,01;9;"WATCH";70,14;66,58;79,05;4;"SKIP";69,86;67,92;74,7;7;4;3;0,854;0,741;1,22;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:- BK3:+ BK4:+";32,1;62,1;0,7;4,1;TRUE;0,79;3,4;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";0,75;"all criteria met";NA;NA;NA;27;NA;27,7;28,8;50;NA;NA;75,3;-6,64;"PASS";"Contango";"20260420 23:11";9;TRUE;TRUE;TRUE;"TREND CONT"
"JPM";"Financial";"XLF";311,69;2,12;8;"WATCH";312,31;296,02;353,05;3;"SKIP";311,07;302;333,74;5;4;1;0,936;0,89;0,78;"S:4/6 BK:1/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:- BK2:- BK3:+ BK4:-";28,9;59,4;-1,7;4,2;TRUE;1,06;0,5;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";1,9;"all criteria met";"20260714";81;NA;22,5;NA;25,3;29,2;38,6;NA;NA;78,1;-25,97;"PASS";"Contango";"20260420 23:07";8;TRUE;TRUE;TRUE;"TREND CONT"
"SU";"Industrial";"XLI";64,56;2,74;9;"WATCH";64,69;60,21;75,89;4;"SKIP";64,43;61,42;71,95;6;4;2;0,656;0,868;0,49;"S:4/6 BK:2/4 | S1:+ S2:+ S3:- S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:- BK4:-";26,3;56,9;2,7;6,2;TRUE;1,77;-5,6;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";24,12;"all criteria met";NA;NA;NA;40,8;NA;36,7;41,9;96,4;NA;NA;82,9;-2,66;"FAIL";"Backwardation";"20260324 08:20";9;TRUE;FALSE;FALSE;"TREND CONT"
"O";"Real Estate";"XLRE";64,08;1,48;9;"WATCH";64,21;63,36;66,32;3;"SKIP";63,95;64,64;62,22;6;4;2;0,674;0,839;0,7;"S:4/6 BK:2/4 | S1:+ S2:+ S3:- S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:+ BK4:-";24,1;55,1;-8;0,1;TRUE;1,31;-2,5;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";2,71;"all criteria met";"20260506";12;NA;18,1;NA;19,4;17,1;76,2;NA;NA;75,3;5,91;"PARTIAL";"Contango";"20260420 18:14";9;TRUE;TRUE;TRUE;"TREND CONT"
"PLD";"Real Estate";"XLRE";142,34;2,13;9;"WATCH";142,62;135,34;160,85;2;"SKIP";142,06;138,07;152,02;5;3;2;0,955;1,042;1,02;"S:3/6 BK:2/4 | S1:+ S2:+ S3:- S4:+ S5:- S6:- | BK1:- BK2:+ BK3:+ BK4:-";34,1;62,9;-6,6;4,1;TRUE;1,14;0;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";9,16;"all criteria met";"20260715";82;NA;23;NA;24,7;26,4;24,6;NA;NA;78,1;-13,68;"PASS";"Contango";"20260420 18:04";9;TRUE;TRUE;TRUE;"TREND CONT"
