"Ticker";"Sector";"Sector_ETF";"Price";"ATR_pct";"Long_Score";"Long_Signal";"Long_Entry";"Long_Stop";"Long_Target";"Short_Score";"Short_Signal";"Short_Entry";"Short_Stop";"Short_Target";"BOT_Score";"BOT_Setup";"BOT_Breakout";"BOT_Squeeze";"BOT_VolDec";"BOT_VolSurge";"BOT_Flags";"ADX10";"RSI14";"RSI_slope";"MA50_dist";"OBV_rising";"UpDn_ratio";"RS_vs_ETF";"Macro_Note";"Sector_Long_Gate";"Sector_Short_Gate";"Best_Signal";"Trend_Passes";"Pullback";"RS_3m";"Trend_Reason";"NextEarnings";"EarningsInDays";"IV15";"IV30";"IV90";"IV180";"RV30";"IVP";"IVR";"IVP_2y";"RVP";"VRP";"Optionality";"TermStr";"Vol_Date";"Composite";"Gate_Tech";"Gate_Opt";"All_Gates";"Rank"
"JPM";"Financial";"XLF";313,02;2,12;10;"TRADE";313,65;296,15;357,39;3;"SKIP";312,39;302,13;338,05;7;4;3;0,936;0,911;0,6;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";29,4;61,3;3,8;4,6;TRUE;1,46;1,1;"";TRUE;FALSE;"LONG TRADE";FALSE;"at SMA20";-0,13;"fails: RS<=bench";"20260714";82;NA;22,5;NA;25,3;29,2;38,6;NA;NA;78,1;-25,97;"PASS";"Contango";"20260420 23:07";10;TRUE;TRUE;TRUE;"TOP PICK"
"PLD";"Real Estate";"XLRE";141,42;2,14;10;"TRADE";141,7;135,3;157,71;2;"SKIP";141,14;138,03;148,9;6;4;2;0,955;1,05;0,97;"S:4/6 BK:2/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:- BK2:+ BK3:+ BK4:-";34,1;61;-4;3,5;TRUE;1,13;0,6;"";TRUE;FALSE;"LONG TRADE";TRUE;"at SMA20";8,42;"all criteria met";"20260715";83;NA;23;NA;24,7;26,4;24,6;NA;NA;78,1;-13,68;"PASS";"Contango";"20260420 18:04";10;TRUE;TRUE;TRUE;"TOP PICK"
"NVDA";"Technology";"XLK";202,5;2,41;10;"TRADE";202,9;182,59;253,68;2;"SKIP";202,1;186,28;241,62;8;5;3;1;0,879;0,7;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";31,7;69,8;0;9,8;TRUE;4,73;9,1;"";TRUE;FALSE;"LONG TRADE";FALSE;"none";6,33;"fails: no pullback";"20260520";27;NA;39,7;38;40,4;30,4;52,8;NA;NA;18,2;26,8;"PASS";"Contango";"20260421 11:43";10;TRUE;TRUE;TRUE;"TOP PICK"
"DBA";"Basic Materials";"XLB";27,13;0,79;9;"WATCH";27,18;26,34;29,29;3;"SKIP";27,08;26,87;27,58;5;4;1;0,411;1,21;0,6;"S:4/6 BK:1/4 | S1:+ S2:+ S3:- S4:+ S5:+ S6:- | BK1:- BK2:+ BK3:- BK4:-";22,1;57,4;-3,8;2;TRUE;1,83;-6,1;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";2,75;"all criteria met";NA;NA;NA;14,4;NA;NA;8,8;50,2;NA;NA;21,8;48,4;"PARTIAL";"NO DATA";"20260421 09:23";9;TRUE;TRUE;TRUE;"TREND CONT"
"SU";"Industrial";"XLI";63,43;2,86;8;"WATCH";63,56;60,01;72,42;4;"SKIP";63,3;61,22;68,5;6;4;2;0,656;0,891;0,5;"S:4/6 BK:2/4 | S1:+ S2:+ S3:- S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:- BK4:-";28,6;52,9;2,2;4,6;TRUE;1,21;-5,4;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";23,96;"all criteria met";NA;NA;NA;40,8;NA;36,7;41,9;96,4;NA;NA;82,9;-2,66;"FAIL";"Backwardation";"20260324 08:20";9;TRUE;FALSE;FALSE;"TREND CONT"
"SPG";"Real Estate";"XLRE";201,68;1,89;10;"WATCH";202,08;192,81;225,26;2;"SKIP";201,28;196,71;212,7;7;5;2;0,962;0,908;0,8;"S:5/6 BK:2/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:+ BK4:-";36,9;59,3;-7,2;3,6;TRUE;1,58;5,3;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";5,73;"all criteria met";"20260511";18;NA;25,1;NA;23,5;22,2;82,4;NA;NA;70,5;12,12;"FAIL";"Backwardation";"20260420 18:10";10;TRUE;FALSE;FALSE;"TREND CONT"
"LAC";"Basic Materials";"XLB";4,98;5,32;10;"WATCH";4,99;4,42;6,42;2;"SKIP";4,97;4,51;6,13;9;5;4;0,83;0,946;1,22;"S:5/6 BK:4/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:+";36,1;64,1;4,6;11,6;TRUE;2,57;17,2;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";-21,99;"fails: stage2, RS<=bench, no pullback";"20260514";21;NA;83,2;NA;77,5;67,1;55,5;NA;NA;42,6;21,51;"FAIL";"Backwardation";"20260420 19:04";10;TRUE;FALSE;FALSE;""
"DIS";"Communications";"XLC";104,82;2,05;10;"WATCH";105,03;100,49;116,37;3;"SKIP";104,61;102,52;109,83;7;4;3;1;0,808;0,81;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";33,4;61,9;0,2;3,3;TRUE;4,57;2,7;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";-10,64;"fails: stage2, RS<=bench, no pullback";"20260506";13;NA;35,7;NA;29,1;23,3;85,3;NA;NA;50,6;42,76;"FAIL";"Backwardation";"20260420 22:51";10;TRUE;FALSE;FALSE;""
"FITB";"Financial";"XLF";50,56;2,38;10;"WATCH";50,66;48,13;56,98;3;"SKIP";50,46;49,11;53,84;7;4;3;0,776;0,82;0,79;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";34,4;62,5;0,1;4;TRUE;1,62;4;"";TRUE;FALSE;"LONG WATCH";FALSE;"at SMA20";-3,87;"fails: RS<=bench";"20260717";85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
"ETN";"Industrial";"XLI";413,87;2,9;10;"WATCH";414,7;370,4;525,45;2;"SKIP";413,04;377,88;500,95;9;5;4;0,954;0,856;1,24;"S:5/6 BK:4/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:+";24,3;69,1;7;10,6;TRUE;2,69;6,3;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";20,67;"fails: no pullback";"20260505";12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
"FTV";"Industrial";"XLI";60,86;2,44;10;"WATCH";60,98;56,79;71,47;2;"SKIP";60,74;57,93;67,75;8;5;3;1;0,727;1,03;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";33;65,2;4,6;6,1;TRUE;1,62;6,6;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";7,99;"fails: no pullback";"20260430";7;NA;40,3;NA;NA;28,5;97,6;NA;NA;49,8;34,85;"FAIL";"NO DATA";"20260420 18:52";10;TRUE;FALSE;FALSE;""
"DLR";"Real Estate";"XLRE";200,86;1,9;10;"WATCH";201,26;180,36;253,52;2;"SKIP";200,46;184;241,6;6;4;2;0,982;0,956;1,05;"S:4/6 BK:2/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:- BK2:+ BK3:+ BK4:-";48,7;74,3;-2,7;10,3;TRUE;2,17;7,1;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";23,33;"fails: no pullback";"20260423";0;NA;33,5;NA;29,5;22,7;82,2;NA;NA;38,2;39,03;"FAIL";"Backwardation";"20260420 18:09";10;TRUE;FALSE;FALSE;""
"PLTR";"Technology";"XLK";152,62;4,59;10;"WATCH";152,93;142,72;178,44;3;"SKIP";152,31;145,6;169,09;6;3;3;0,946;0,97;0,89;"S:3/6 BK:3/4 | S1:+ S2:+ S3:- S4:+ S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-";20,1;57,8;9,5;5,9;TRUE;1,44;-7,8;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";-11,23;"fails: stage2, RS<=bench, no pullback";"20260504";11;NA;60,5;NA;53,9;50,2;72,2;NA;NA;36,2;18,51;"FAIL";"Backwardation";"20260420 23:33";11;TRUE;FALSE;FALSE;""
"AMAT";"Technology";"XLK";403,48;3,45;10;"WATCH";404,29;359,37;516,59;2;"SKIP";402,67;366,63;492,79;8;5;3;0,956;0,832;0,93;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";22;64,8;1,3;11,2;TRUE;1,12;1,4;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";23,34;"fails: stage2, no pullback";"20260514";21;NA;58,3;NA;53,9;52,7;NA;NA;NA;61,8;10,1;"FAIL";"Backwardation";"20260421 08:33";10;TRUE;FALSE;FALSE;""
"CSCO";"Technology";"XLK";89,8;2,29;10;"WATCH";89,98;79,55;116,06;2;"SKIP";89,62;81,16;110,78;8;5;3;0,927;0,802;0,9;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";29,4;74,3;16,7;11,8;TRUE;2,49;4,6;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";17,59;"fails: stage2, no pullback";"20260513";20;NA;34,2;NA;30,3;27,3;96,4;NA;NA;62,3;22,61;"FAIL";"Backwardation";"20260421 09:18";10;TRUE;FALSE;FALSE;""
"MSFT";"Technology";"XLK";432,92;2,25;10;"WATCH";433,79;389,67;544,08;2;"SKIP";432,05;397,54;518,34;7;4;3;1;0,987;0,87;"S:4/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-";40,4;73,1;5,9;10;TRUE;3,13;9,7;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";-7,27;"fails: stage2, RS<=bench, no pullback";"20260429";6;NA;36,4;NA;31,2;26,3;96,4;NA;NA;56,6;32,54;"FAIL";"Backwardation";"20260420 19:05";10;TRUE;FALSE;FALSE;""
"LW";"Agricultural";"MOO";45,01;3,31;10;"SKIP";45,1;43,74;48,5;3;"SKIP";44,92;44,62;45,67;7;4;3;0,845;0,843;0,52;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";32,5;58,7;4,8;1,9;TRUE;4,48;7,4;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;FALSE;FALSE;FALSE;""
"BG";"Agricultural";"MOO";125,77;3,21;9;"SKIP";126,02;121,46;137,42;3;"SKIP";125,52;123,92;129,52;6;5;1;0,702;0,9;0,76;"S:5/6 BK:1/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:- BK3:- BK4:-";16,3;54,5;12,6;2,5;TRUE;0,55;0,3;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260429";6;NA;39,1;NA;32,5;38,7;98,2;NA;NA;96,4;1,11;"FAIL";"Backwardation";"20260421 08:53";9;FALSE;FALSE;FALSE;""
